,ID,sex,race,class,major,math.level,modality,Anxiety.avg,Anxiety.pca1,Anxiety.wt.pca,Anxiety.cfa,Anxiety.mea.avg,Anxiety.mea.pca1,Anxiety.mea.wt.pca,Anxiety.mea.cfa,Anxiety.mla.avg,Anxiety.mla.pca1,Anxiety.mla.wt.pca,Anxiety.mla.cfa,SelfEfficacy.avg,SelfEfficacy.pca1,SelfEfficacy.wt.pca,SelfEfficacy.cfa,Technology.avg,Technology.pca1,Technology.wt.pca,Technology.cfa,Cooporative.avg,Cooporative.pca1,Cooporative.wt.pca,Cooporative.cfa,Deductive.avg,Deductive.pca1,Deductive.wt.pca,Deductive.cfa,Demonstration.avg,Demonstration.pca1,Demonstration.wt.pca,Demonstration.cfa,Inductive.avg,Inductive.pca1,Inductive.wt.pca,Inductive.cfa,Integrative.avg,Integrative.pca1,Integrative.wt.pca,Integrative.cfa,LectureType.avg,LectureType.pca1,LectureType.wt.pca,LectureType.cfa,Repetitive.avg,Repetitive.pca1,Repetitive.wt.pca,Repetitive.cfa,Engage.avg,Engage.pca1,Engage.wt.pca,Engage.cfa,Resource.avg,Resource.pca1,Resource.wt.pca,Resource.cfa
11,11,male,Black,yr3,STEM,math01,Visual,2.444444444,-0.46478434,0.054949139,-0.040701101,3.75,0.48237514,0.454840547,0.176760698,1.4,-1.086525698,-0.566256662,-0.291107624,1,2.889076374,1.535336024,-1.87067955,1,-5.141158107,-3.250558474,-1.548816894,1.333333333,-3.150258582,-1.898661233,-1.442298586,2.571428571,1.48548178,0.882128661,-0.513616317,2.142857143,-3.569240651,-1.827504682,-1.18185618,2.714285714,-1.791479035,-1.1152256,-0.556535769,2.285714286,-1.196220674,-0.448258366,-0.441383549,3.142857143,0.68599435,0.313061612,-0.360332154,3,-0.719851227,-0.533216347,-0.255289255,2,-1.157807443,-0.702121269,-0.488478964,3.75,1.19892294,0.652257771,0.296172788
12,12,male,white,yr5+,STEM,math03,Visual,3,1.058033673,0.537809285,0.330173604,4.25,1.491658375,0.660351735,1.309803294,2,0.055947692,0.256723893,-0.047544265,2.666666667,0.272238594,0.780435929,-1.607650047,1,-5.141158107,-3.250558474,-1.548816894,2.5,-0.863261514,-0.523789253,-0.404000916,3.428571429,-0.440361432,-0.161834689,0.194411,4.571428571,2.265492018,1.451808654,0.721410088,3,-1.088078567,-1.060321544,-0.366972037,1.571428571,-2.887227552,-1.576296617,-1.033500045,3.571428571,-0.345594475,-0.366297555,0.105765712,3.714285714,0.898939873,0.5942794,0.315568096,3,0.82935929,0.588689164,0.345408463,3.5,0.617042712,0.253323526,0.100681125
13,13,female,white,yr2,Health,stats,Auditory,2.888888889,0.652974731,0.212931153,-0.069310316,2.75,-1.228554933,-0.748332575,-1.002867691,3,2.117931946,0.977460128,0.624762913,4,-1.494122992,-1.035480771,1.26030338,2.5,-0.752013718,-0.428210423,-0.274447902,2.666666667,-0.473230944,-0.46090285,-0.205237453,3.857142857,-1.315138531,-0.684348191,0.516911732,4.285714286,1.495038177,0.951735196,0.485008179,2.714285714,-1.991065912,-1.238238827,-0.739929462,3.285714286,0.69642569,0.323736785,0.231686592,2.571428571,1.853821114,1.282921236,-0.78323604,3.571428571,0.57885445,0.30738932,0.146214841,2.333333333,-0.463982276,-0.311718388,-0.15865742,4,1.672984464,0.844932233,0.355099684
14,14,female,white,yr5+,STEM,other,Kinesthetic,2.555555556,-0.20003797,0.155621386,0.070417713,4,0.967877415,0.530632104,0.628700014,1.4,-1.206339621,-0.71562193,-0.281663572,4,-1.494122992,-1.035480771,1.26030338,3.7,2.740132063,1.992932629,0.891666536,2,-1.701167126,-1.342962904,-0.755551271,2.571428571,1.317460398,0.809216832,-0.44345359,3.142857143,-1.051164965,-0.475850559,-0.33761623,3.571428571,0.407988053,0.268897886,0.228629951,2.571428571,-0.749059401,-0.320836556,-0.500271404,4,-1.637986173,-0.805008172,0.76202007,2.571428571,-1.642883166,-1.159833186,-0.850537186,3.333333333,1.525787519,1.172590118,0.663396945,3.5,0.724861417,0.459583308,0.237245892
15,15,male,white,yr1,STEM,math04,Visual,2.222222222,-1.122960368,-0.621914638,-0.296190886,2.75,-1.228554933,-0.748332575,-1.002867691,1.8,-0.351986099,-0.347905099,-0.062453091,4,-1.606785676,-0.747328484,1.150222273,2.8,0.134834983,-0.017798444,0.125894664,3.333333333,0.737635875,0.498466986,0.333556006,4,-1.578206204,-1.004117459,0.529744153,4,0.961703246,0.575471656,0.319157455,4.142857143,1.741871375,1.267772174,0.614409096,3.142857143,0.436960405,0.220358598,0.123058442,4.142857143,-1.889034936,-0.966075931,0.806934997,3.428571429,0.2598046,0.175193004,0.158106876,1,-3.150180301,-2.379927848,-1.298700268,2.75,-0.904110777,-0.011758437,-0.031167362
16,16,female,white,yr1,Other,math02,Kinesthetic,3.666666667,2.783033067,1.516437618,0.574939946,4.75,2.238069075,1.444151105,1.475836163,2.8,1.655968983,0.648385345,0.501683443,1,2.889076374,1.535336024,-1.87067955,1.8,-2.661107429,-1.620433368,-0.708142508,1.666666667,-2.396604659,-1.616802384,-1.083121627,2.428571429,1.76095606,1.158604272,-0.59287342,3.285714286,-0.829725449,-0.562787217,-0.296151198,4.142857143,1.600017992,1.133070282,0.517830384,2.428571429,-0.936798282,-0.233948342,-0.337399418,3.142857143,0.575791368,0.368216069,-0.26792547,3.714285714,0.843714046,0.711471986,0.322736992,4,2.819129086,2.072997671,1.167462829,4,1.672984464,0.844932233,0.355099684
17,17,female,white,yr1,Other,math01,Auditory,2,-1.704331431,-0.62882509,-0.293817987,3.25,-0.369847308,-0.280641333,-0.467911941,1,-1.957885179,-1.089803394,-0.498788129,4.333333333,-1.903014628,-1.416689784,1.035109303,3,0.697905981,0.310849486,0.258081643,5,3.98427509,2.58077855,1.816831043,5,-3.920800251,-2.342993227,1.442501251,5,3.312899741,1.915324116,1.090864446,5,3.743454134,2.288068128,1.261820986,3,0.192761254,0.132805413,0.061386315,5,-3.628486279,-2.337109929,1.384601504,5,3.736288733,2.232364636,1.382311068,1,-3.150180301,-2.379927848,-1.298700268,3.25,0.250799893,0.266908845,0.178318996
18,18,female,Black,yr2,Health,stats,Kinesthetic,2.444444444,-0.493418602,-0.347193399,-0.151870912,3,-0.78781652,-0.458678455,-0.670375451,2,0.049875812,-0.245652242,0.06489776,3,-0.267448083,0.108146265,1.93588561,2.5,-0.861637691,-0.500470009,-0.333248114,4,2.039285373,1.349054335,0.928039969,3.857142857,-1.272764141,-0.816943335,0.439402228,3.857142857,0.538768199,0.31487207,0.167739339,3.857142857,0.883855232,0.61281349,0.280518429,3.714285714,1.801051617,0.943730226,0.618237555,3.571428571,-0.309305936,-0.215281577,0.079200944,3.857142857,1.211340193,0.716016768,0.450297522,2.666666667,0.182688507,0.138485388,0.093375521,2,-2.813851189,-1.991679527,-0.805716726
19,19,male,Asian,yr1,Other,math02,Auditory,3.222222222,1.551132001,0.695825276,0.349197298,4.75,2.155026528,1.604085594,1.127225123,2,0.038941732,0.100893992,-0.036014288,3.333333333,-0.554610857,-0.271598565,-0.11863278,4.3,4.432125588,2.759294918,1.349179576,2.333333333,-1.204904973,-0.672225216,-0.547673926,2.714285714,1.310359579,0.761576647,-0.530854631,3.714285714,0.265915498,-0.21597181,0.153111697,3,-1.106128906,-0.682031882,-0.31617779,2.142857143,-1.488053069,-1.050987232,-0.339829465,1.857142857,3.541938807,2.009460986,-1.331234113,2.142857143,-2.602541056,-1.383815884,-0.927761661,3.333333333,1.476030074,1.03889294,0.597441405,4,1.672984464,0.844932233,0.355099684
20,20,female,white,yr3,Business,math03,Visual,3,1.074270199,0.598250862,0.355761404,4.5,1.864863725,1.05225142,1.392819729,1.8,-0.352911553,-0.29496587,-0.09774984,2.666666667,0.384901278,0.492283642,-1.49756894,3.2,1.388644061,0.832912932,0.617354776,1.5,-2.7691111,-1.74130637,-1.261062214,2.571428571,1.460496332,0.986723338,-0.511255132,3,-1.501785924,-0.715858655,-0.527190603,3,-1.315014318,-0.842558743,-0.478486372,2.285714286,-1.263459913,-0.822551843,-0.413235417,2.714285714,1.695450753,0.979290427,-0.716088255,3.285714286,-0.089493514,0.310599185,0.122811902,2,-1.160410505,-0.895619342,-0.476645902,2.25,-2.279083749,-0.962545887,-0.604531736
