"","ID","sex","race","class","major","math.level","modality","Anxiety.mea.avg","Anxiety.mea.pca1","Anxiety.mea.wt.pca","Anxiety.mea.cfa","Anxiety.mla.avg","Anxiety.mla.pca1","Anxiety.mla.wt.pca","Anxiety.mla.cfa","SelfEfficacy.avg","SelfEfficacy.pca1","SelfEfficacy.wt.pca","SelfEfficacy.cfa","Technology.avg","Technology.pca1","Technology.wt.pca","Technology.cfa","Cooporative.avg","Cooporative.pca1","Cooporative.wt.pca","Cooporative.cfa","Deductive.avg","Deductive.pca1","Deductive.wt.pca","Deductive.cfa","Demonstration.avg","Demonstration.pca1","Demonstration.wt.pca","Demonstration.cfa","Inductive.avg","Inductive.pca1","Inductive.wt.pca","Inductive.cfa","Integrative.avg","Integrative.pca1","Integrative.wt.pca","Integrative.cfa","LectureType.avg","LectureType.pca1","LectureType.wt.pca","LectureType.cfa","Repetitive.avg","Repetitive.pca1","Repetitive.wt.pca","Repetitive.cfa","Engage.avg","Engage.pca1","Engage.wt.pca","Engage.cfa","Resource.avg","Resource.pca1","Resource.wt.pca","Resource.cfa"
"1",1,"female","Asian","yr3","Health","stats","Visual",4.75,2.14511475358154,1.47845455939476,1.11779036069037,2.6,1.29882424547508,0.712592408246948,0.330798686264138,3,-1.83780178217861,-1.06069932154477,-0.603094416254917,2.4,-2.26710758970861,-1.62520780914809,-0.643427688532324,4,1.99928166482694,1.36721141225045,0.916040648118903,3.28571428571429,0.110292393738571,0.100753607715331,0.0568402223522599,4,0.860940843135404,0.675517393762747,0.238568727127041,4,1.3207653335302,0.700992532920378,0.446563373335696,4,2.48976245667943,1.05546145047248,0.942502037311109,3.71428571428571,0.659546672010661,0.411259163105658,0.242696959835811,4.14285714285714,1.81283686087025,1.18259727141759,0.637436198196033,2,-0.831435085337812,-0.59098647132696,-0.345969846195772,1,-1.67277738826583,-0.843783682502592,-0.351623884594771
"2",2,"female","white","yr2","Health","stats","Auditory",4,0.931420305898933,0.699201005562881,0.601580943402697,3.8,3.72464288771443,2.43590551230341,0.928438493461578,2.66666666666667,-0.488907955226482,0.0841240795496512,0.548283369534074,3.1,-0.566952103663022,-0.116715006424976,-0.403108782368328,4.33333333333333,2.68708139531254,1.79695656605723,1.22957562099498,4.57142857142857,2.91343018192814,1.85658761374685,1.07100175435957,4.85714285714286,2.97762621011447,1.68798890789531,0.981889450145753,4.57142857142857,2.71012277780902,1.62733088672193,0.892722543525371,4.85714285714286,4.22334905035967,2.10285497969893,1.45254403805363,4.14285714285714,1.89558671906455,1.04712903456188,0.823228612096894,4.71428571428571,3.10911672776171,1.78709020590735,1.1560656137455,3.33333333333333,1.8120593419415,1.53890202635143,0.718106249084741,2.25,1.00835539632545,0.215269422035051,0.163625424354463
"3",3,"female","white","yr2","STEM","other","Visual",3.75,0.436289125953471,0.106887803094519,-0.0588897008362933,1.2,-1.58414135310556,-0.959716958919861,-0.39777303004052,4.33333333333333,1.19560969759348,0.365713533257982,1.37509245377966,3.6,1.13020063137076,0.698310249268213,0.373188251473352,3.33333333333333,0.802817668995441,0.469772758618913,0.36333646128387,4.14285714285714,2.17690084700095,1.16311039429717,0.893476757648632,4.28571428571429,1.60085979116414,1.07360283687412,0.530206111843869,4.57142857142857,2.74769062933735,1.64505961415751,0.965747357789216,3.71428571428571,1.9705574948061,0.804525416133876,0.866812365720381,4.28571428571429,2.1214625513499,1.21790879326126,0.86661754076281,4.42857142857143,2.4562826648596,1.44314373235468,0.996778697296335,2,-0.831435085337812,-0.59098647132696,-0.345969846195772,2,0.431405171288841,0.0764318047246739,0.0611900907590484
"4",4,"female","other","yr1","Other","math02","Visual",2.75,-1.11390091690858,-0.64653038820056,-0.428223764335304,1,-1.95968575222524,-1.12354304995711,-0.506476490509507,2.66666666666667,-0.488907955226482,0.0841240795496512,0.548283369534074,2.8,-1.17157991290806,-0.65730744251974,-0.345001961079848,1.66666666666667,-2.45497220544376,-1.57347145853024,-1.1184755427751,2.57142857142857,-1.44987839640875,-1.13292160473601,-0.473019881148555,2.42857142857143,-2.80357896187985,-1.56923265845746,-0.920949144725858,2.71428571428571,-1.80152808531133,-1.33748313803384,-0.600932935465499,1.57142857142857,-2.93559593246133,-1.46579396790056,-1.08875916923146,3.14285714285714,-0.425351182641302,-0.318036228790864,-0.0636119912934185,2.14285714285714,-2.59941309964765,-1.53314115396305,-1.02232317495186,3,1.16109640947066,0.89558989955865,0.476063462043351,1.5,-0.623032644819437,-0.513559309885433,-0.191628894219258
"5",5,"female","other","yr1","STEM","math04","Kinesthetic",3,-0.804754304111319,-0.599803195450772,-0.593384649793385,1,-1.95968575222524,-1.12354304995711,-0.506476490509507,4,1.61416912777569,1.03643584205871,3.08276806956743,3.4,0.561504077818184,0.297641535502548,0.209906258467244,2,-1.86697598705511,-0.999439147110935,-0.875151001261745,3.85714285714286,1.3074275122869,1.16066018127864,0.501956152392574,5,3.31367547972593,1.91915665923684,1.0979722632391,5,3.73679657201665,2.30646665724278,1.25687647338945,4.57142857142857,3.73027482162941,2.02995590558066,1.39116571825652,4.57142857142857,2.82447475911517,1.71370631907591,1.17107716092428,5,3.7350316100817,2.22691801750131,1.37973577599676,4,3.15362790427913,2.38216627044426,1.29809677028247,2.5,1.47645684207335,0.146889435348884,0.128361086531768
"6",6,"female","white","yr1","Other","math02","Auditory",3.75,0.501015532680634,0.284796435811794,0.189461934661829,1.6,-0.687851810648981,-0.673591623444527,-0.190497641919119,3.66666666666667,0.153400692200954,0.179357090092986,2.03957985095958,2.7,-1.47226735928169,-1.24174547780993,-0.519097899683679,2.5,-0.897284392343342,-0.459107708804142,-0.414973768098145,2.85714285714286,-1.04095240531275,-0.430514848305429,-0.442812516539136,3.42857142857143,-0.449553189101377,-0.281930375739557,-0.166156805304822,3.57142857142857,0.275861959955101,-0.0146468343008657,0.0840270827897485,2.57142857142857,-0.789652720055004,-0.158757807759622,-0.359154473378681,3.28571428571429,-0.237296298730573,-0.18072770062033,-0.143792199376023,3.28571428571429,-0.0821091690137941,0.164852517687703,0.0535084835063785,3,1.16109640947066,0.89558989955865,0.476063462043351,2,0.426712098626955,-0.183334937268275,-0.0316339038437446
"7",7,"female","white","yr1","Health","stats","Auditory",3.75,0.501015532680634,0.284796435811794,0.189461934661829,1.8,-0.392565583837461,-0.103727727587239,-0.105001169885,3.33333333333333,-1.31669727948235,-0.967521099962269,-0.935338114844879,2.6,-1.79202214762229,-1.13287612805495,-0.534474138796873,2,-1.85071079018598,-1.11469682955327,-0.847667255692644,2.28571428571429,-2.21375733036068,-1.11064784521487,-0.843184019162589,2.42857142857143,-2.78690460187558,-1.74747551626791,-0.897647097933244,2,-3.63825999378942,-2.17739068478022,-1.22876383958412,2.71428571428571,-0.363454251203422,0.0141441778014566,-0.118364832529035,2,-3.2833007717121,-2.00597981266066,-1.25747909394781,1,-5.12608668929201,-2.87572657194544,-1.80970188717721,2,-0.833792108660722,-0.776919907898219,-0.331966807768785,2.5,1.58999869402395,0.613873781338377,0.358884752552671
"8",8,"male","white","yr3","Business","math03","Visual",4.25,1.3973687145327,1.02918290846063,0.951408860610283,3.6,3.28415591668568,1.90756846304529,0.85307355424403,2.66666666666667,-1.42857188810496,-0.679776450833573,-0.827148547663742,3,-0.693766893567773,-0.318577880021777,-0.257441991975146,1.83333333333333,-2.19508050027172,-1.26848597940801,-1.01656534547778,3,-0.416440990665535,-0.506354535734776,-0.0770582828795481,3.71428571428571,0.196879675938065,0.314053221080552,0.0513396122044783,3.42857142857143,-0.143435949541072,-0.169681988675512,-0.0337887612340776,2.85714285714286,-0.277240279920572,-0.190108642251824,-0.190782261241717,3.14285714285714,-0.514993120477369,-0.239055549364595,-0.240232887719427,2.85714285714286,-1.02274071324632,-0.655007116170657,-0.503369470681751,2,-0.831435085337812,-0.59098647132696,-0.345969846195772,1,-1.67277738826583,-0.843783682502592,-0.351623884594771
"9",9,"female","white","yr2","Other","other","Visual",1.75,-2.93395626299489,-2.06274077821165,-1.97040314790164,1.4,-1.13639905043638,-0.660353271941288,-0.344639447764221,3.33333333333333,1.49296498304452,1.03438105309787,1.25922788955197,2.6,-1.82412807923084,-1.22157484668767,-0.628339609930525,2.16666666666667,-1.5421000289239,-0.846341340241168,-0.712887054262451,3.42857142857143,0.356456427453078,0.339155884315064,0.106081695108907,4.28571428571429,1.67087591585,0.937479837781504,0.630924169865946,3.57142857142857,0.253635725983545,0.187394184673121,0.100421517149556,3.28571428571429,1.02211247670467,0.62706176664531,0.479780888334048,4,1.4367616328173,0.894533596163758,0.606005321004161,3.42857142857143,0.249984157016296,0.149327298054743,0.102635621922985,2,-0.831435085337812,-0.59098647132696,-0.345969846195772,1,-1.67277738826583,-0.843783682502592,-0.351623884594771
"10",10,"male","Asian","yr5+","STEM","other","Kinesthetic",1.75,-2.84188087388554,-1.95739470078096,-1.70376598073409,1,-1.95968575222524,-1.12354304995711,-0.506476490509507,3,0.971860480348258,0.941202831515373,1.59147158814193,5,5.14404030313939,3.25008804515714,1.55143250842355,2.5,-0.83663973924099,-0.60827302864419,-0.379828101160091,4.28571428571429,2.49779497939626,1.40518890805551,1.00963744788393,4.28571428571429,1.57927096315524,0.901284501838653,0.516687523942834,2.85714285714286,-1.59727296857258,-1.00302265611874,-0.561160293673507,3,0.29158574434404,0.0821329143383014,0.182913685952371,3.85714285714286,1.01288289731282,0.588912546995194,0.404621407620954,2.42857142857143,-1.95279890609851,-1.17576283262274,-0.739545170715842,1.33333333333333,-2.13100392695658,-1.69167728834127,-0.844058458705541,1.75,-0.00980102878516176,0.30407667620195,0.0767113469911084
