"","MEA","MLA","sex","race","class","major","math.level","modality","SelfEfficacy","Technology","Cooperative","Deductive","Demonstration","Inductive","Integrative","Lecture","Repetitive","Engage","Resource","TeacherCtrd","StudentCtrd"
"1",1.13867364875799,0.335941831260101,"female","Asian","yr3","Health","stats","Visual",-0.601824496581807,-0.643563320551878,0.914798847142118,0.0540359540079411,0.238430109903016,0.4475955783309,0.939590558891033,0.241721922459641,0.640446922551004,-0.34651641770713,-0.358667856713796,0.217339259162954,0.726270398696681
"2",0.954895807433118,0.92173031489416,"female","white","yr2","Health","stats","Auditory",0.551917586418646,-0.403026329648314,1.22787763419299,1.06885358440183,0.974978662137089,0.454168081859163,1.44038828574389,0.8221417782446,1.17096114197185,0.726878443871456,0.173388847976669,0.94448537221587,0.98558576841744
"3",-0.0550821966687987,-0.393902556682844,"female","white","yr2","STEM","other","Visual",1.37541634994494,0.374371950837287,0.366406360991742,0.886561933506014,0.524006645796572,0.968822019368643,0.863875905166268,0.865102951435601,0.997341286695083,-0.34651641770713,0.0656350830847125,0.760882390710284,0.74110630185555
"4",-0.422637879318545,-0.50335207058653,"female","other","yr1","Other","math02","Visual",0.551917586418646,-0.344127471527405,-1.11423350026532,-0.47573455147534,-0.916367900494138,-0.599449338578959,-1.08731281762661,-0.0630648521993806,-1.0285287183865,0.48012338310851,-0.190625975900191,-0.524618297810169,-0.883851084748925
"5",-0.609454061842237,-0.50335207058653,"female","other","yr1","STEM","math04","Kinesthetic",3.0896276932781,0.208841308667246,-0.874623750773607,0.504134247607549,1.09095126265959,1.26266585861308,1.38255272487834,1.17020836199514,1.39439723145276,1.30676318392415,0.145457785727019,0.914136212614049,0.7022910191088
"6",0.214059597425291,-0.179191064701317,"female","white","yr1","Other","math02","Auditory",2.04596671676903,-0.51852140449503,-0.419032567231853,-0.443984159741718,-0.167069953711025,0.0896443757525929,-0.365173686689153,-0.142458635554234,0.0492620532926565,0.48012338310851,-0.022584095086586,-0.21564864525503,-0.205483586565302
"7",0.214059597425291,-0.105018944308217,"female","white","yr1","Health","stats","Auditory",-0.937099679993854,-0.533517421607604,-0.848334440594985,-0.843410680246178,-0.893312510060211,-1.23572088999034,-0.120906260579923,-1.25595589496598,-1.82697597315684,-0.336831611159201,0.369361791039924,-1.0429204558403,-0.701719852769787
"8",0.974022425617195,0.851745730326904,"male","white","yr3","Business","math03","Visual",-0.827018573502468,-0.2570317001474,-1.01057288379694,-0.0832157263224973,0.0493371502293372,-0.0341247162895079,-0.193389617567886,-0.236481163837743,-0.49020931980613,-0.34651641770713,-0.358667856713796,-0.132944827921002,-0.343830567917657
"9",-1.96169015388643,-0.337372625250333,"female","white","yr2","Other","other","Visual",1.26030337951567,-0.628836174113024,-0.712268098968598,0.106615872101117,0.627547566927368,0.102043451040174,0.477741639881228,0.60663957575343,0.108915151738687,-0.34651641770713,-0.358667856713796,0.369773719411208,0.0171095407040569
"10",-1.67342174160826,-0.50335207058653,"male","Asian","yr5+","STEM","other","Kinesthetic",1.59557856292771,1.5516123992985,-0.379565007973808,1.00651205611893,0.514057506021861,-0.565068676284451,0.179610878753014,0.405316747864535,-0.738543484077503,-0.849711345780952,0.0704556876449374,0.472974920553893,-0.236534030283838
