"","ID","sex","race","class","major","math.level","modality","Anxiety.mea.avg","Anxiety.mea.pca1","Anxiety.mea.wt.pca","Anxiety.mea.cfa","Anxiety.mla.avg","Anxiety.mla.pca1","Anxiety.mla.wt.pca","Anxiety.mla.cfa","SelfEfficacy.avg","SelfEfficacy.pca1","SelfEfficacy.wt.pca","SelfEfficacy.cfa","Technology.avg","Technology.pca1","Technology.wt.pca","Technology.cfa","Cooporative.avg","Cooporative.pca1","Cooporative.wt.pca","Cooporative.cfa","Deductive.avg","Deductive.pca1","Deductive.wt.pca","Deductive.cfa","Demonstration.avg","Demonstration.pca1","Demonstration.wt.pca","Demonstration.cfa","Inductive.avg","Inductive.pca1","Inductive.wt.pca","Inductive.cfa","Integrative.avg","Integrative.pca1","Integrative.wt.pca","Integrative.cfa","LectureType.avg","LectureType.pca1","LectureType.wt.pca","LectureType.cfa","Repetitive.avg","Repetitive.pca1","Repetitive.wt.pca","Repetitive.cfa","Engage.avg","Engage.pca1","Engage.wt.pca","Engage.cfa","Resource.avg","Resource.pca1","Resource.wt.pca","Resource.cfa","Teacher.ctrd.pca1","Teacher.ctrd.wt.pca","Teacher.ctrd.cfa","Student.ctrd.pca1","Student.ctrd.wt.pca","Student.ctrd.cfa"
"1",1,"female","Asian","yr3","Health","stats","Visual",4.75,2.1497497657431,1.59576518678731,1.12466368201378,2.6,1.31118965639683,0.744734177343674,0.333504845690519,3,-1.8355790549641,-1.05743408161181,-0.597180839626671,2.4,-2.26723806870205,-1.66157039441724,-0.629743689774853,4,1.99692612959536,1.36121076587953,0.917064664804872,3.28571428571429,0.109271140210434,0.168745382957314,0.0528340384953553,4,0.859641763002678,0.67988827038348,0.239771508832906,4,1.3234063977211,0.746135563227936,0.44770092403371,4,2.48748436213281,1.05744571938299,0.938778409507174,3.71428571428571,0.656648343363037,0.470107829745238,0.237104281533126,4.14285714285714,1.81351010321856,1.18295116801366,0.6390901942999,2,-0.828915728028531,-0.587694347450185,-0.346338725843645,1,-1.67156413915867,-0.843882077011064,-0.352923347074065,0.756169674689687,0.645307199889681,0.217799300378474,1.74242424762539,1.34555202291216,0.739483531393544
"2",2,"female","white","yr2","Health","stats","Auditory",3.25,-0.375282596683744,-0.172029802984544,-0.398788098866506,3.8,3.72416694861079,2.26632675935779,0.91037183495997,2.66666666666667,-0.485744642948413,0.087580475889533,0.555089193625425,3.1,-0.582359698660799,-0.24863531081542,-0.4156824219915,4.33333333333333,2.68473848733836,1.79363918109437,1.23040061573802,4.57142857142857,2.91307184770428,1.83503382560401,1.07108405510026,4.85714285714286,2.97547838180899,1.68303399582295,0.979540115133492,4.42857142857143,2.35364580861221,1.33228596740762,0.740683411143043,4.85714285714286,4.22362148655171,2.11204791384346,1.44690893394807,4.14285714285714,1.89474144685399,0.985976297386267,0.82038246495591,4.71428571428571,3.10761049933691,1.78329769747612,1.1521617405273,3.33333333333333,1.8199684895653,1.5591843738112,0.741078814157338,2.25,1.01006713856759,0.216314048468092,0.164523879072639,2.67996638476077,2.08033987689503,0.948769326237632,2.60725709051146,1.98259185588478,1.10657534734013
"3",3,"female","white","yr2","STEM","other","Visual",3.75,0.444629602946209,0.408523836647575,-0.0455912155046277,1.2,-1.5819585307646,-0.870336402023775,-0.389446695623462,4.33333333333333,1.19812415031921,0.366606014723312,1.3824096819889,3.6,1.12408463595456,0.752799090766725,0.366866531992268,3.33333333333333,0.80381262570025,0.472718257075121,0.36234974318391,4.14285714285714,2.17723135762651,1.20931091614738,0.892633949128685,4.28571428571429,1.59812464207393,1.08252088007049,0.527498790271505,4.57142857142857,2.75364666023861,1.65986353882003,0.968980612772223,3.71428571428571,1.97073811972878,0.819298445574797,0.866530009898095,4.28571428571429,2.1209079056463,1.33042707338015,0.865338215346514,4.42857142857143,2.45597902525528,1.44069111677112,0.996390033076181,2,-0.828915728028531,-0.587694347450185,-0.346338725843645,2,0.432738653841988,0.076533157921001,0.0611798367494736,2.14943548879223,1.71236751152963,0.76831475025446,1.75661506312181,1.17365198365085,0.745751597892531
"4",4,"female","other","yr1","Other","math02","Visual",2.75,-1.10981670041507,-0.858006868508405,-0.430775758394179,1,-1.95766826697144,-1.12363438544422,-0.497556424846265,2.66666666666667,-0.485744642948413,0.087580475889533,0.555089193625425,2.8,-1.17452480739863,-0.672754916953786,-0.342855659167219,1.66666666666667,-2.45116044082161,-1.57342392809837,-1.11653433108127,2.57142857142857,-1.44800875403754,-1.12352576973268,-0.471139846538028,2.42857142857143,-2.80406307379049,-1.56461467068889,-0.919193271563757,2.71428571428571,-1.80133195959648,-1.41307158090605,-0.602393251503214,1.57142857142857,-2.93876565113084,-1.46705639570412,-1.08756763157684,3.14285714285714,-0.42520080199924,-0.396257825294582,-0.0657546971215431,2.14285714285714,-2.5951986501042,-1.52813272040684,-1.0173639647465,3,1.16457844923197,0.906136076640967,0.484725501406459,1.5,-0.621148175827482,-0.512726667522369,-0.191568062242842,-1.67329731129639,-1.3019032418825,-0.524266758122236,-2.11322604497399,-1.61868229840736,-0.896853545678245
"5",5,"female","other","yr1","STEM","math04","Kinesthetic",3,-0.794796907684611,-0.355500934894121,-0.588814973639841,1,-1.95766826697144,-1.12363438544422,-0.497556424846265,4,1.6174927976648,1.03834674058624,3.09543696000112,3.4,0.554564507687123,0.254427200579913,0.208798803375246,2,-1.86317561876991,-0.993397666825081,-0.872196763639657,3.85714285714286,1.30490643317985,1.15377046767719,0.497407048716181,5,3.31170935523013,1.91813277875012,1.09562411681238,5,3.74208800854917,2.29084272651677,1.25970296808463,4.57142857142857,3.73077426314606,2.03358397113852,1.38994877131384,4.57142857142857,2.82497003652446,1.6984114924492,1.17211282934881,5,3.73293522636506,2.2231470984821,1.37616993798703,4,3.15807262649247,2.39996650073212,1.31578972865656,2.5,1.4796837508349,0.14958415145502,0.131142507419603,2.73347023049201,2.17246256788436,0.91413467113493,1.6360033233897,0.88964810191096,0.695020299948701
"6",6,"female","white","yr1","Other","math02","Auditory",3.75,0.505595857924257,0.299087074489666,0.199785830797642,1.6,-0.668761559041478,-0.50762766767319,-0.175177576461134,3.66666666666667,0.156313591898464,0.181995189307425,2.05148344171189,2.7,-1.47049754540583,-1.30299562944483,-0.514388506409499,2.5,-0.896268370765619,-0.460255300313807,-0.412434962364337,2.85714285714286,-1.03857136192418,-0.442251952541388,-0.441959728112908,3.42857142857143,-0.451205649073589,-0.2689361490811,-0.166374807176646,3.57142857142857,0.277617511465078,-0.0749035002580576,0.0844506154477572,2.57142857142857,-0.792607163723363,-0.164477602896561,-0.35958925132601,3.28571428571429,-0.233116598012412,-0.240395794080359,-0.140752313864143,3.28571428571429,-0.0819528745173126,0.164976712875318,0.0535572283130915,3,1.16457844923197,0.906136076640967,0.484725501406459,2,0.42926778750371,-0.181571258033675,-0.0302127774116195,-0.477206196976628,-0.325027304441401,-0.213923130477232,-0.489096621272165,-0.44580832874335,-0.207499206083796
"7",7,"female","white","yr1","Health","stats","Auditory",3.75,0.505595857924257,0.299087074489666,0.199785830797642,1.8,-0.396811799433215,-0.0456087969919202,-0.10444828454696,3.33333333333333,-1.31467377575373,-0.965128668903863,-0.931717719488165,2.6,-1.79552738252678,-1.09163489761739,-0.526191611467702,2,-1.84831865150357,-1.11570730886833,-0.845307438306751,2.28571428571429,-2.21278462676309,-1.08576916437261,-0.846347706840403,2.42857142857143,-2.78732680461344,-1.74245376944953,-0.896891526498782,2,-3.63842709001679,-2.12988249503368,-1.22999810783843,2.71428571428571,-0.368753105622982,3.81889906387635e-06,-0.119206226216268,2,-3.27892416287513,-2.04515580670199,-1.25392180547831,1,-5.12124873642247,-2.86899746458199,-1.80440478596134,2,-0.838177971936109,-0.804583591010405,-0.350023349896254,2.5,1.59086648963147,0.614199354969859,0.359260535556897,-3.125107664273,-2.54369755275115,-1.04395976658763,-1.65553321366298,-1.07499074917077,-0.702674701831588
"8",8,"male","white","yr3","Business","math03","Visual",4.25,1.39777767032609,0.809626843874562,0.949988019900563,3.6,3.2904396896931,1.94819512116683,0.841592882329073,2.66666666666667,-1.42601856950437,-0.676465662681343,-0.823401204525293,3,-0.702557131271479,-0.326110850212567,-0.26038116509647,1.83333333333333,-2.1911748599962,-1.26504832928132,-1.01393191600225,3,-0.414332284276667,-0.493714916687325,-0.0761727242865537,3.71428571428571,0.194081457090717,0.316266369741561,0.0501835336085995,3.42857142857143,-0.13997429092499,-0.127796399813953,-0.0313242495555338,2.85714285714286,-0.274088384624612,-0.172797935297276,-0.191358313001584,3.14285714285714,-0.5159941998958,-0.355984116993656,-0.246015979360968,2.85714285714286,-1.02085183656311,-0.656432554966193,-0.505216537043655,2,-0.828915728028531,-0.587694347450185,-0.346338725843645,1,-1.67156413915867,-0.843882077011064,-0.352923347074065,-0.470717964237719,-0.440936361851953,-0.134438962956533,-0.832617274788659,-0.743802187913559,-0.353135591963879
"9",9,"female","white","yr2","Other","other","Visual",1.75,-2.91943138148237,-1.72621341694344,-1.94909674593158,1.4,-1.13206944866103,-0.481255339197285,-0.332542548821972,3.33333333333333,1.49633984202829,1.0362374398763,1.26450583205315,2.6,-1.83053967627923,-1.27308655154755,-0.626757188434307,2.16666666666667,-1.53951970841967,-0.845931506565273,-0.709941325278976,3.42857142857143,0.358191585732528,0.327398878732525,0.107559023148219,4.28571428571429,1.66892742214036,0.902481930188576,0.628196833914201,3.57142857142857,0.258565480547998,0.25382973241162,0.104010132822405,3.28571428571429,1.01943663787135,0.624622595163979,0.480735312895364,4,1.43906418622936,0.84226115388495,0.608717152567515,3.42857142857143,0.250594459577231,0.147746418620629,0.101060198788719,2,-0.828915728028531,-0.587694347450185,-0.346338725843645,1,-1.67156413915867,-0.843882077011064,-0.352923347074065,0.989987712018789,0.712464569225145,0.370085002584468,0.0316510668946923,-0.068473561888964,0.0137085065384275
"10",10,"male","Asian","yr5+","STEM","other","Kinesthetic",1.75,-2.83321407024069,-1.98852316943611,-1.68580309029775,1,-1.95766826697144,-1.12363438544422,-0.497556424846265,3,0.975434562817917,0.943932027168352,1.59904271191465,5,5.13171496016993,3.22150048198912,1.52393034932561,2.5,-0.835253862946806,-0.607990636431948,-0.380087074493515,4.28571428571429,2.49732255347098,1.41040279075702,1.00901409139259,4.28571428571429,1.57803479982604,0.918730238639799,0.515858987290485,2.85714285714286,-1.59669325565494,-0.951200993376475,-0.561100790595414,3,0.291519286475921,0.0893246269925254,0.18401967035316,3.85714285714286,1.00927324871903,0.496736405420956,0.396142543752352,2.42857142857143,-1.9498306846029,-1.17334221706468,-0.737749937038891,1.33333333333333,-2.13043356478762,-1.67690169823044,-0.855360727292794,1.75,-0.00918022874698926,0.303897525806185,0.0763583202493751,0.873068822169793,0.475575700587546,0.474756227691676,-0.55181863234869,-0.329972769237302,-0.234188427739374
