"","sex","race","class","major","math.level","modality","mea","mla","selfEfficacy","technology","cooperative","deductive","demonstrative","inductive","integrative","lecture","repetitive","engage","resource","teacher.ctrd","student.ctrd"
"1","female","Asian","yr3","Health","stats","Visual",1.12466368201378,0.333504845690519,-0.597180839626671,-0.629743689774853,0.917064664804872,0.0528340384953553,0.239771508832906,0.44770092403371,0.938778409507174,0.237104281533126,0.6390901942999,-0.346338725843645,-0.352923347074065,0.217799300378474,0.739483531393544
"2","female","white","yr2","Health","stats","Auditory",-0.398788098866506,0.91037183495997,0.555089193625425,-0.4156824219915,1.23040061573802,1.07108405510026,0.979540115133492,0.740683411143043,1.44690893394807,0.82038246495591,1.1521617405273,0.741078814157338,0.164523879072639,0.948769326237632,1.10657534734013
"3","female","white","yr2","STEM","other","Visual",-0.0455912155046277,-0.389446695623462,1.3824096819889,0.366866531992268,0.36234974318391,0.892633949128685,0.527498790271505,0.968980612772223,0.866530009898095,0.865338215346514,0.996390033076181,-0.346338725843645,0.0611798367494736,0.76831475025446,0.745751597892531
"4","female","other","yr1","Other","math02","Visual",-0.430775758394179,-0.497556424846265,0.555089193625425,-0.342855659167219,-1.11653433108127,-0.471139846538028,-0.919193271563757,-0.602393251503214,-1.08756763157684,-0.0657546971215431,-1.0173639647465,0.484725501406459,-0.191568062242842,-0.524266758122236,-0.896853545678245
"5","female","other","yr1","STEM","math04","Kinesthetic",-0.588814973639841,-0.497556424846265,3.09543696000112,0.208798803375246,-0.872196763639657,0.497407048716181,1.09562411681238,1.25970296808463,1.38994877131384,1.17211282934881,1.37616993798703,1.31578972865656,0.131142507419603,0.91413467113493,0.695020299948701
"6","female","white","yr1","Other","math02","Auditory",0.199785830797642,-0.175177576461134,2.05148344171189,-0.514388506409499,-0.412434962364337,-0.441959728112908,-0.166374807176646,0.0844506154477572,-0.35958925132601,-0.140752313864143,0.0535572283130915,0.484725501406459,-0.0302127774116195,-0.213923130477232,-0.207499206083796
"7","female","white","yr1","Health","stats","Auditory",0.199785830797642,-0.10444828454696,-0.931717719488165,-0.526191611467702,-0.845307438306751,-0.846347706840403,-0.896891526498782,-1.22999810783843,-0.119206226216268,-1.25392180547831,-1.80440478596134,-0.350023349896254,0.359260535556897,-1.04395976658763,-0.702674701831588
"8","male","white","yr3","Business","math03","Visual",0.949988019900563,0.841592882329073,-0.823401204525293,-0.26038116509647,-1.01393191600225,-0.0761727242865537,0.0501835336085995,-0.0313242495555338,-0.191358313001584,-0.246015979360968,-0.505216537043655,-0.346338725843645,-0.352923347074065,-0.134438962956533,-0.353135591963879
"9","female","white","yr2","Other","other","Visual",-1.94909674593158,-0.332542548821972,1.26450583205315,-0.626757188434307,-0.709941325278976,0.107559023148219,0.628196833914201,0.104010132822405,0.480735312895364,0.608717152567515,0.101060198788719,-0.346338725843645,-0.352923347074065,0.370085002584468,0.0137085065384275
"10","male","Asian","yr5+","STEM","other","Kinesthetic",-1.68580309029775,-0.497556424846265,1.59904271191465,1.52393034932561,-0.380087074493515,1.00901409139259,0.515858987290485,-0.561100790595414,0.18401967035316,0.396142543752352,-0.737749937038891,-0.855360727292794,0.0763583202493751,0.474756227691676,-0.234188427739374
"11","male","Black","yr3","STEM","math01","Visual",0.181869221466081,-0.290157472800384,-1.86735472281452,1.52393034932561,-1.43435782274244,-0.516834133041057,-1.18887755852917,-0.556727141709207,-0.433129453984064,-0.359021747897435,-0.239312795039084,0.48104087735385,-0.294912104566007,-0.594078616405721,-0.737395336256438
"12","male","white","yr5+","STEM","math03","Visual",1.280137500588,-0.0475441377454702,-1.60079147921115,1.52393034932561,-0.408557276829095,0.194583028696984,0.724405143766862,-0.367983138941975,-1.03120905600238,0.110365155011219,0.306261074041454,-0.346338725843645,-0.100175448081749,0.315840997884654,-0.601515233113053
"13","female","white","yr2","Health","stats","Kinesthetic",-0.988385676052324,0.621540387906779,1.26450583205315,0.278532192481199,-0.212636775859465,0.529154693927505,0.487010319927918,-0.73654883032711,0.226724297833425,-0.79086845614243,0.144050562933623,0.158998651552895,-0.352923347074065,0.105295277019177,-0.235084903093721
"14","female","white","yr5+","STEM","other","Kinesthetic",0.617273142541686,-0.28133696640066,1.26450583205315,-0.878786449985434,-0.768774948555663,-0.445648464615935,-0.341114784794206,0.232008334883036,-0.503310984354551,0.76086616408365,-0.849710273153579,-0.672065575697209,-0.23690086205795,-0.129444060358254,-0.303469257625239
"15","male","white","yr1","STEM","math04","Visual",-0.988385676052324,-0.0620632085253715,1.15618931709028,-0.133071622821876,0.336680128236571,0.538972544607673,0.319867820574012,0.608752200549561,0.123614364904556,0.802247887787123,0.154223115642273,1.31578972865656,0.0277984650964382,0.485647612387269,0.350978022970848
"16","female","white","yr1","Other","math02","Kinesthetic",1.45481316270121,0.499690324451081,-1.86735472281452,0.695421093917185,-1.08867398393847,-0.593789358116599,-0.296074145589176,0.517360109157798,-0.334009094873647,-0.287700987602073,0.342719893731018,-1.17740295309375,-0.352923347074065,-0.300625317672101,-0.231022070114824
"17","female","white","yr1","Other","math01","Auditory",-0.465643923920112,-0.497556424846265,1.03828546715453,-0.26038116509647,1.8194510001737,1.45210273364758,1.09562411681238,1.25970296808463,0.0620288519513763,1.3870550416303,1.37616993798703,1.31578972865656,-0.178889619549892,1.27620653520245,0.962546997529522
"18","female","Black","yr2","Health","stats","Kinesthetic",-0.655670798693447,0.064791493643286,1.94316692674902,0.333114327810306,0.931198187346884,0.444061843392755,0.168927084070249,0.281607453209894,0.616274702144445,0.0769574584378162,0.443674878525626,-0.0936700371453748,0.803720686380239,0.259521576702886,0.571596022932978
"19","male","Asian","yr1","Other","math02","Auditory",1.12466368201378,-0.0356693319160627,-0.113984566097563,-1.32801621454335,-0.536413496777515,-0.526163292725947,0.153242444026096,-0.312207209179906,-0.338945009686512,-1.3303081163276,-0.925072643353494,-0.599007414541915,-0.352923347074065,-0.586594598990362,-0.373363468035674
"20","female","white","yr3","Business","math03","Visual",1.36747533164461,-0.0969837319174146,-1.49247496424828,-0.623368611844796,-1.2601595940352,-0.516917207843346,-0.529292704913008,-0.476516952126664,-0.409046865850361,-0.727586897268547,0.122192382749973,0.484725501406459,0.599329991856263,-0.478032105149671,-0.65322162972582
"21","male","white","yr2","Business","math03","Auditory",-0.743008629750054,-0.374927624843561,-0.113984566097563,0.723488660182193,-0.50120447650546,0.273631862361532,-0.0284785070841979,0.177090121727481,-0.202858921330383,0.24043150328493,-0.867206483605833,-0.0279811240952987,-0.294912104566007,0.0425226844780611,-0.144073055578523
"22","male","other","yr2","Health","stats","Auditory",0.199785830797642,-0.10945292325992,-2.42811196757463,0.515868955348134,0.0692248446601883,-0.414934185380949,-0.722913213847,-0.509864596364626,-0.887080700757899,-0.594051889013322,-0.248334557767617,0.484725501406459,-0.23690086205795,-0.503955572388514,-0.470268197999664
"23","male","white","yr5+","STEM","other","Visual",-0.868745076141224,-0.389446695623462,1.15618931709028,0.423755891952282,-1.43982549741706,0.335701826069208,-0.849264033579984,-0.370632969020351,-0.183635550025793,-0.679210027382439,-1.35061039302389,0.484725501406459,-0.133556819734785,-0.448685211353658,-0.585795657854279
"24","female","white","yr3","STEM","stats","Kinesthetic",-0.063507824836189,-0.0905235992801563,1.7169465618504,0.687231126200523,-0.517228109638813,-0.240329775613326,-0.389220315416808,-0.253245136350364,0.140608078566227,-0.46544715082591,0.008687807795171,0.22837218865558,-0.294912104566007,-0.297716847793697,-0.178772725345849
"25","female","white","yr1","Health","stats","Auditory",-1.81153953668892,-0.274466799284212,1.49072619695178,0.14304413131266,0.931198187346884,0.586406600707224,0.306628815783969,0.42510187829924,0.757543331339529,0.486921958217911,0.581026256999934,-0.0936700371453748,0.356236130903665,0.464721145086021,0.671667518068853
"26","male","white","yr2","Other","math02","Kinesthetic",1.12466368201378,0.401689412808318,-2.42811196757463,-1.02667330063423,0.795832074319108,0.586406600707224,0.306628815783969,0.42510187829924,0.370747853853676,0.486921958217911,0.581026256999934,1.31578972865656,0.980254454711363,0.464721145086021,0.498698316859793
"27","female","white","yr2","STEM","other","Visual",0.266641655851248,-0.09817250294361,1.49072619695178,-1.10616129336443,-1.13297377429256,-0.517272940452969,-0.304760553920505,-0.451657774595265,-0.179645976207341,-0.205684468639934,-0.709493293771837,-0.350023349896254,-0.352923347074065,-0.380782954437808,-0.529107887911039
"28","male","white","yr3","STEM","other","Visual",0.269207052522688,-0.0557874269220216,-0.823401204525293,-0.555133576489554,-0.930420531723561,-0.652917593600781,-0.786439260338606,-0.688988141514909,-0.119206226216268,-0.317342897399924,-0.375124969417587,-0.602692038594524,-0.352923347074065,-0.538657355884858,-0.535918701267905
"29","female","other","yr3","STEM","math01","Kinesthetic",1.54215099375782,1.07214706052067,-3.20550224226049,1.36310913404725,-1.4463097252257,-2.01068179811386,-1.15672184664995,-1.85245132120709,-1.50915977671223,-2.10300713100063,-1.3284462892106,-0.921049640342871,0.310903331088557,-1.65105278950901,-1.57408729107189
