"","ID","sex","race","class","major","math.level","modality","Anxiety.mea.avg","Anxiety.mea.pca1","Anxiety.mea.wt.pca","Anxiety.mea.cfa","Anxiety.mla.avg","Anxiety.mla.pca1","Anxiety.mla.wt.pca","Anxiety.mla.cfa","SelfEfficacy.avg","SelfEfficacy.pca1","SelfEfficacy.wt.pca","SelfEfficacy.cfa","Technology.avg","Technology.pca1","Technology.wt.pca","Technology.cfa","Cooporative.avg","Cooporative.pca1","Cooporative.wt.pca","Cooporative.cfa","Deductive.avg","Deductive.pca1","Deductive.wt.pca","Deductive.cfa","Demonstration.avg","Demonstration.pca1","Demonstration.wt.pca","Demonstration.cfa","Inductive.avg","Inductive.pca1","Inductive.wt.pca","Inductive.cfa","Integrative.avg","Integrative.pca1","Integrative.wt.pca","Integrative.cfa","LectureType.avg","LectureType.pca1","LectureType.wt.pca","LectureType.cfa","Repetitive.avg","Repetitive.pca1","Repetitive.wt.pca","Repetitive.cfa","SocialEngage.avg","SocialEngage.pca1","SocialEngage.wt.pca","SocialEngage.cfa","BehaveEngage.avg","BehaveEngage.pca1","BehaveEngage.wt.pca","BehaveEngage.cfa","Resource.avg","Resource.pca1","Resource.wt.pca","Resource.cfa"
"1",1,"female","Asian","yr3","Health","stats","Visual",5,2.14245548464502,1.47441255690006,1.14164342203661,2.75,1.29969842769496,0.657150017436564,0.570518689622336,3,-1.83256366660196,-1.05828541938447,-0.609449950242083,2.4,-2.26491373740271,-1.60455616930547,-0.641865975297061,4,1.99828340439225,1.3672439778738,0.908533254943683,3.28571428571429,0.107548706114597,0.117369620985091,0.0514597522409534,4,0.859125260520872,0.679471070179282,0.239222438899662,4,1.32387778819058,0.749324516032496,0.450319129682942,4,2.48286422485843,0.979155039415682,0.937917590346076,3.71428571428571,0.65814522239399,0.465417261029778,0.241144283686279,4.14285714285714,1.81202540979783,1.06253353164221,0.631655003059494,2,-0.831501585872319,-0.591434741262175,-0.348936508282686,3,-0.0487548449240131,-0.0622943890997189,-0.00699482262527438,1,-1.67193309805374,-0.844137146503784,-0.357745495736532
"2",2,"female","white","yr2","Health","stats","Auditory",4.33333333333333,1.18691665109635,0.970300264498127,0.634605472386928,3.75,3.04782248211267,1.8539527174274,1.38169101062603,2.66666666666667,-0.483699362371816,0.0865649369968614,0.53895572198059,3.2,-0.248935665503634,-0.05092384569567,-0.279637905927994,4.33333333333333,2.68793531265153,1.79938060732306,1.22549362239599,4.57142857142857,2.91387332010357,1.85398182817028,1.07104077586752,4.85714285714286,2.97546835252201,1.68640701877519,0.978782847390504,4.42857142857143,2.35443335156257,1.33457674744486,0.748432670880938,4.85714285714286,4.21373025946769,2.16408576349462,1.44273175176483,4.14285714285714,1.89547087706695,0.988785804270854,0.822728468054497,4.71428571428571,3.1136913202081,1.87895378911012,1.16345214859362,3.33333333333333,1.81047658471522,1.55041986458201,0.735038483842714,3.33333333333333,0.645883100744526,0.212897730859546,0.270245613160334,2.25,1.01403610221817,0.218955367342158,0.170502342279625
"3",3,"female","white","yr2","STEM","other","Visual",4,0.710140718174002,0.304272391931583,0.376241401080745,1.25,-1.38304712852697,-0.855036885449504,-0.608775446018514,4.33333333333333,1.19974076503037,0.369414042336875,1.37126754082799,3.6,1.12888612639536,0.743601384699936,0.370321858235724,3.33333333333333,0.807328146278474,0.471506806061027,0.369348916781597,4.14285714285714,2.17552653512914,1.18345904987417,0.889823753963901,4.28571428571429,1.59836734447004,1.08294650667977,0.526625470142994,4.57142857142857,2.75239065791482,1.65587048510775,0.969126561444995,3.71428571428571,1.96390328890083,0.575142402247866,0.860174287557621,4.28571428571429,2.1213101097634,1.3326416464228,0.86666511471279,4.42857142857143,2.45716410151634,1.49554194919728,0.997188881989259,2,-0.831501585872319,-0.591434741262175,-0.348936508282686,4,1.99088942395612,1.28966377199986,0.673570682943099,2,0.436956924685793,0.0823445371913509,0.0641550073240141
"4",4,"female","other","yr1","Other","math02","Visual",2.66666666666667,-1.20093694892333,-0.703952192872288,-0.637834498218624,1,-1.79422804288445,-1.11806932750387,-0.821282758780936,2.66666666666667,-0.483699362371816,0.0865649369968614,0.53895572198059,2.8,-1.17049548129266,-0.706280808741537,-0.342293072440893,1.66666666666667,-2.45385797810574,-1.57714532329451,-1.11874120776066,2.57142857142857,-1.45090899939585,-1.13171233851878,-0.474149499510764,2.42857142857143,-2.80425977522644,-1.56858531741825,-0.918758791078998,2.71428571428571,-1.80273734106732,-1.40423632364263,-0.600888559050553,1.57142857142857,-2.94152381144468,-1.47572603011853,-1.09019088874858,3.14285714285714,-0.425728571275999,-0.399926017271336,-0.0643210684686493,2.14285714285714,-2.59665121526377,-1.6827805046313,-1.0276342372835,3,1.15940245490286,0.901589107000962,0.48377051699264,2.66666666666667,-0.743392790592552,-0.337486509058984,-0.284235258410882,1.5,-0.619486307717012,-0.512652640687681,-0.191071487197587
"5",5,"female","other","yr1","STEM","math04","Kinesthetic",3,-0.751338591599941,-0.752101239418778,-0.4553657226779,1,-1.79422804288445,-1.11806932750387,-0.821282758780936,4,1.6185110305944,1.03976074795585,3.06014287786092,3.4,0.559603625358558,0.258260390008068,0.208052513273045,2,-1.86398928967066,-0.995902941651267,-0.866969519259088,3.85714285714286,1.30678765917904,1.16289880924919,0.500198336355141,5,3.31150917686338,1.92132264130113,1.09454554129571,5,3.74144114399981,2.28283476961181,1.26187175459162,4.57142857142857,3.72210564851427,1.99227480599081,1.38680592887244,4.57142857142857,2.82458988797689,1.69942685774868,1.17150766645697,5,3.73794706238797,2.23668202166913,1.38459868253754,4,3.15030649567803,2.3946129552641,1.31647754226797,4,1.99088942395612,1.28966377199986,0.673570682943099,2.5,1.48540727295645,0.150316370944525,0.142276529880302
"6",6,"female","white","yr1","Other","math02","Auditory",4,0.726844657074171,0.567189852853173,0.419840539947484,1.75,-0.408764200219983,-0.376524148145278,-0.24460210413126,3.66666666666667,0.158121451973574,0.182244141921628,2.01710182343001,2.7,-1.46508369267825,-1.26882172811727,-0.513023222698438,2.5,-0.897384329646344,-0.455147545195692,-0.415808898274446,2.85714285714286,-1.03820469194215,-0.429591016275196,-0.441532452442246,3.42857142857143,-0.451056592078701,-0.271780977559326,-0.165954727737103,3.57142857142857,0.276429066393591,-0.0810363670656854,0.0864246274254931,2.57142857142857,-0.797318710607079,-0.00749659477808943,-0.361913044801761,3.28571428571429,-0.237346362228231,-0.233474179271374,-0.143883582009189,3.28571428571429,-0.0804055681290849,0.112304439641192,0.0547233008435477,3,1.15940245490286,0.901589107000962,0.48377051699264,3.66666666666667,1.29625147828758,1.0144716520406,0.396330247157491,2,0.432960482619717,-0.181168134871578,-0.0243974786586425
"7",7,"female","white","yr1","Health","stats","Auditory",4,0.726844657074171,0.567189852853173,0.419840539947484,1.75,-0.528815814569494,-0.338199802658583,-0.201215049141716,3.33333333333333,-1.31175401007357,-0.964700469176849,-0.932367091543093,2.6,-1.79133406444545,-1.15289882787922,-0.532812483665638,2,-1.85058647964328,-1.11410907494576,-0.84842192104252,2.28571428571429,-2.21302252578107,-1.10492823908682,-0.844652740963512,2.42857142857143,-2.78816863647475,-1.7462156478875,-0.896839314527592,2,-3.63960878390031,-2.11227601434368,-1.23200465105205,2.71428571428571,-0.36923588277172,0.115928138721698,-0.117044328961933,2,-3.28400638755684,-2.05096936007107,-1.25721830371507,1,-5.12332136998956,-2.885301797618,-1.81352883295966,2,-0.835712472562919,-0.801528133211202,-0.348885292458535,3.66666666666667,1.29625147828758,1.0144716520406,0.396330247157491,2.5,1.59511172181663,0.619078869555894,0.365402163217893
"8",8,"male","white","yr3","Business","math03","Visual",4.33333333333333,1.2098508921979,1.04487572814986,0.689507593221686,3.75,3.01595299687016,1.8631805187452,1.39914523927407,2.66666666666667,-1.42327928446425,-0.677366718829742,-0.827002473751335,3,-0.696168605977766,-0.314361307404878,-0.255894690265229,1.83333333333333,-2.19350115158578,-1.27240035634583,-1.01400904601388,3,-0.41663463848437,-0.502486617143659,-0.0785409818845753,3.71428571428571,0.194368734307322,0.316047546992742,0.0501892384564537,3.42857142857143,-0.142965047373053,-0.138120965650079,-0.0356929735687852,2.85714285714286,-0.282655607937265,-0.277644722483178,-0.194184021270422,3.14285714285714,-0.516062344535555,-0.355877320679198,-0.243186106925084,2.85714285714286,-1.01388925339041,-0.691978131127808,-0.493046954929196,2,-0.831501585872319,-0.591434741262175,-0.348936508282686,3.33333333333333,0.630764815853194,0.608602426094005,0.186146219329896,1,-1.67193309805374,-0.844137146503784,-0.357745495736532
"9",9,"female","white","yr2","Other","other","Visual",2,-2.18988366027234,-1.7338994071174,-1.23207072560179,1.25,-1.32691729198234,-0.960377226056248,-0.637221851462357,3.33333333333333,1.49749987277741,1.03766649323871,1.25907963511049,2.6,-1.82469122758999,-1.19287566843067,-0.626708624677408,2.16666666666667,-1.54148812566687,-0.846160498658198,-0.712519243665282,3.42857142857143,0.35818910614414,0.340664799628146,0.108034966749532,4.28571428571429,1.66892963016887,0.909249619214485,0.627857028333057,3.57142857142857,0.2565302604986,0.244831018963302,0.101632238845049,3.28571428571429,1.01540811957591,0.507825618221185,0.478345535300773,4,1.43670446469089,0.84421689627909,0.606479286611667,3.42857142857143,0.255324429629861,0.190523081525823,0.109253951120539,2,-0.831501585872319,-0.591434741262175,-0.348936508282686,2.33333333333333,-1.42291245136976,-1.00838332425271,-0.477376300366052,1,-1.67193309805374,-0.844137146503784,-0.357745495736532
"10",10,"male","Asian","yr5+","STEM","other","Kinesthetic",2,-2.15024548027062,-1.39640648254408,-1.13356946590029,1,-1.79422804288445,-1.11806932750387,-0.821282758780936,3,0.976690216249011,0.944081543031088,1.5819967764115,5,5.14006484697988,3.24043328690884,1.54541374373052,2.5,-0.834682135607992,-0.606863162842488,-0.377828907986581,4.28571428571429,2.49648766805121,1.40994553454235,1.00820625959195,4.28571428571429,1.57723504023286,0.917448078675929,0.514948077187284,2.85714285714286,-1.59830541071293,-0.948077038010708,-0.563551458811377,3,0.284617362903135,0.0307228865465239,0.178030993592827,3.85714285714286,1.01125661387879,0.500287218883936,0.402227127053044,2.42857142857143,-1.94801852195637,-1.16885896835257,-0.738319769864453,1.33333333333333,-2.12943895880644,-1.67900286447524,-0.851523657806985,2,-2.08839911380415,-1.4142525501993,-0.687560328193648,1.75,-0.00803737398882659,0.306084828725672,0.0742586811832034
