"","ID","sex","race","class","major","math.level","modality","ID","AMAS.1","AMAS.2","AMAS.3","AMAS.4","AMAS.5","AMAS.6","AMAS.7","AMAS.8","AMAS.9","MEA.2","MEA.4","MEA.5","MEA.8","MLA.1","MLA.3","MLA.6","MLA.7","MLA.9","Efficacy.1","Efficacy.2","Efficacy.3","Cooperative.1","Cooperative.2","Cooperative.3","Cooperative.4","Cooperative.5","Cooperative.6","Lecture.1","Lecture.2","Lecture.3","Lecture.4","Lecture.5","Lecture.6","Lecture.7","Deductive.1","Deductive.2","Deductive.3","Deductive.4","Deductive.5","Deductive.6","Deductive.7","Inductive.1","Inductive.2","Inductive.3","Inductive.4","Inductive.5","Inductive.6","Inductive.7","Demons.1","Demons.2","Demons.3","Demons.4","Demons.5","Demons.6","Demons.7","Repet.1","Repet.2","Repet.3","Repet.4","Repet.5","Repet.6","Repet.7","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Integrate.1","Tach.1","Tach.2","Tach.3","Tach.4","Tach.5","Tach.6","Tach.8","Tach.9","Tach.10","Tach.11","Tach.12","SocialEngage.1","SocialEngage.2","SocialEngage.3","SocialEngage.8","BehaveEngage.4","BehaveEngage.5","BehaveEngage.6","BehaveEngage.7","Resource.9","Resource.10","Resource.11","Resource.12","Modality.1","Modality.2","Modality.3","Modality.4","Modality.5","Modality.6","Modality.7","Modality.8","Modality.9","Modality.10","Modality.11","Modality.12"
"11",11,"male","Black","yr3","STEM","math01","Visual",11,1,3,1,4,4,1,3,4,1,3,4,4,4,1,1,1,3,1,1,5,1,1,2,1,2,1,1,4,3,4,2,3,3,3,3,3,3,3,3,2,1,2,3,3,2,4,2,3,4,3,1,1,2,1,3,1,3,4,2,2,4,5,2,4,1,1,4,2,2,5,5,5,5,5,5,5,5,5,5,5,2,3,4,1,2,2,2,2,2,1,1,1,2,3,2,3,1,2,2,2,2,3,2,3
"12",12,"male","white","yr5+","STEM","math03","Visual",12,3,5,1,5,2,2,2,5,2,5,5,2,5,3,1,2,2,2,2,5,5,2,2,3,1,4,3,5,4,3,3,3,4,3,3,4,4,4,3,2,4,3,2,3,5,5,1,2,5,5,5,4,5,3,5,5,4,4,4,4,3,2,1,2,1,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,2,2,2,1,3,3,3,3,2,1,2,1,1,1,2,3,1,2,1,3,2,2,3,2
"13",13,"female","white","yr2","Health","stats","Auditory",13,1,2,5,2,3,4,2,4,3,2,2,3,4,1,5,4,2,3,4,2,4,5,2,4,1,2,2,4,2,4,2,4,1,1,5,5,5,2,3,4,3,2,4,2,4,2,3,2,5,3,4,5,5,4,4,4,3,4,4,3,4,3,4,2,4,4,2,3,4,2,2,3,4,4,2,4,4,4,4,4,2,2,4,3,4,4,4,4,1,1,1,1,3,2,3,1,1,1,2,1,1,3,3,3
"14",14,"female","white","yr5+","STEM","other","Kinesthetic",14,1,4,1,4,3,3,1,5,1,4,4,3,5,1,1,3,1,1,4,2,4,1,4,4,1,1,1,5,4,4,5,5,4,1,4,1,2,5,4,1,1,5,3,4,3,4,1,5,4,5,2,1,3,4,3,4,1,4,3,1,4,1,4,5,1,1,1,1,5,4,2,1,2,2,1,5,5,2,2,1,1,1,3,3,4,4,2,4,3,1,1,1,3,2,1,3,3,3,1,3,1,3,3,3
"15",15,"male","white","yr1","STEM","math04","Visual",15,1,2,1,2,3,3,2,4,2,2,2,3,4,1,1,3,2,2,4,3,5,4,3,3,3,3,4,5,3,5,4,5,5,2,5,4,3,4,4,5,3,5,5,4,2,5,4,4,4,5,4,3,4,4,4,3,4,4,3,4,3,3,3,3,4,3,3,2,4,4,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,1,1,1,2,2,1,3,2,2,3,2,1,3,1
"16",16,"female","white","yr1","Other","math02","Kinesthetic",16,1,5,3,5,4,5,2,5,3,5,5,4,5,1,3,5,2,3,1,5,1,1,4,2,1,1,1,5,3,3,1,5,3,2,3,4,3,1,4,1,1,5,3,3,4,5,5,4,3,3,5,3,3,3,3,3,5,3,3,2,5,5,4,3,1,2,3,1,3,1,3,5,5,5,3,5,4,4,4,4,1,1,1,1,3,4,1,3,1,1,1,1,3,2,1,2,1,2,3,1,3,2,3,3
"17",17,"female","white","yr1","Other","math01","Auditory",17,1,3,1,2,3,1,1,5,1,3,2,3,5,1,1,1,1,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,1,3,1,1,1,2,3,3,3
"18",18,"female","Black","yr2","Health","stats","Kinesthetic",18,1,2,2,3,3,3,1,4,3,2,3,3,4,1,2,3,1,3,4,5,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,2,2,3,4,3,4,3,4,3,2,4,3,3,2,1,3,1,2,3,2,2,3,3,3
"19",19,"male","Asian","yr1","Other","math02","Auditory",19,3,4,1,5,5,2,1,5,3,4,5,5,5,3,1,2,1,3,3,3,4,5,2,2,3,1,1,1,4,1,1,2,3,1,4,3,2,2,3,3,2,3,2,3,3,4,2,4,2,4,4,5,3,3,5,3,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,2,2,1,1,2,1,3,2,1,2,2,1,1,4,3,4,2,1,1,1,1,3,3,1,1,1,2,2,1,2,3,3,2
"20",20,"female","white","yr3","Business","math03","Visual",20,2,5,1,5,3,2,1,5,3,5,5,3,5,2,1,2,1,3,2,4,4,2,3,1,1,1,1,4,3,1,2,4,2,3,2,4,2,4,3,1,2,2,2,4,4,2,4,3,4,4,3,2,3,3,2,3,4,2,2,4,4,4,1,3,2,2,3,1,4,2,3,2,4,3,3,4,3,2,2,2,3,3,3,2,3,2,3,3,2,4,4,1,3,2,2,2,2,1,1,1,1,2,3,3
"21",21,"male","white","yr2","Business","math03","Auditory",21,3,2,1,3,2,1,1,4,1,2,3,2,4,3,1,1,1,1,3,3,4,3,4,2,1,1,3,3,3,4,4,5,4,1,4,4,4,4,5,1,1,4,3,5,3,4,2,4,2,5,2,3,5,2,5,2,3,4,3,1,1,2,2,3,3,2,3,3,3,4,4,4,4,3,4,4,5,4,4,4,1,3,3,1,2,2,2,2,2,1,1,1,1,1,2,3,1,2,1,2,2,1,3,3
"22",22,"male","other","yr2","Health","stats","Auditory",22,2,3,2,4,3,2,2,5,1,3,4,3,5,2,2,2,2,1,1,4,2,3,4,3,3,2,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,4,3,2,3,3,4,3,2,2,3,2,2,2,4,4,3,3,3,2,3,3,1,2,1,2,3,3,3,4,2,4,5,4,4,4,4,3,3,3,2,2,2,2,2,3,1,1,1,1,1,1,2,1,2,1,3,2,1,1,3
"23",23,"male","white","yr5+","STEM","other","Visual",23,1,3,1,2,2,2,1,2,1,3,2,2,2,1,1,2,1,1,4,3,5,2,1,1,1,1,2,4,2,3,2,4,2,2,4,4,4,3,5,3,2,3,2,3,4,4,2,3,4,3,2,1,3,2,3,1,1,2,1,2,2,2,4,4,2,1,3,2,4,3,3,2,4,3,4,4,4,4,4,4,3,3,3,4,3,4,2,3,3,2,1,1,3,2,2,2,3,3,2,2,2,3,1,3
"24",24,"female","white","yr3","STEM","stats","Kinesthetic",24,4,3,2,3,5,2,1,4,1,3,3,5,4,4,2,2,1,1,4,4,4,3,3,3,2,2,1,3,3,3,3,3,3,2,3,3,3,3,4,3,2,3,3,3,4,4,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,2,3,3,2,4,4,2,2,2,1,1,1,3,2,1,3,3,2,3,1,2,3,3,2
"25",25,"female","white","yr1","Health","stats","Kinesthetic",25,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,3,2,2,4,2,4,4,4,4,4,2,2,3,2,3,3,3,3,2,2,2,3,1,2,1,1,3,2,2,3,2,3,3,1
"26",26,"male","white","yr2","Other","math02","Kinesthetic",26,3,4,3,5,5,2,3,5,3,4,5,5,5,3,3,2,3,3,1,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,3,4,4,4,3,2,2,1,2,2,4,2,2,3,1,4,4,4,4,4,4,4,4,3,2,4,4,3,3,3,1,3,2,1,3,2,3,3,3
"27",27,"female","white","yr2","STEM","other","Visual",27,2,4,3,3,4,2,1,4,1,4,3,4,4,2,3,2,1,1,4,3,4,1,2,2,1,2,2,4,3,3,3,4,3,2,3,3,2,3,4,1,2,2,3,4,4,3,3,2,5,5,3,3,1,2,4,1,1,4,2,3,3,3,3,4,2,1,3,4,3,2,2,2,1,2,2,4,2,2,2,2,1,2,3,2,3,2,3,2,1,1,1,1,3,1,1,2,3,2,3,2,2,2,2,1
"28",28,"male","white","yr3","STEM","other","Visual",28,1,3,3,4,5,2,2,4,1,3,4,5,4,1,3,2,2,1,2,4,2,1,3,4,1,1,1,4,3,4,3,4,2,1,3,2,2,3,4,1,2,2,3,3,2,3,4,2,2,3,3,2,2,3,3,2,3,3,3,2,4,3,4,3,2,3,3,2,2,2,2,4,3,3,2,3,2,3,3,2,1,2,2,1,3,2,2,2,1,1,1,1,2,3,2,2,1,2,2,3,2,1,3,3
"29",29,"female","other","yr3","STEM","math01","Kinesthetic",29,3,5,4,5,5,5,3,5,5,5,5,5,5,3,4,5,3,5,1,5,5,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,5,3,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,3,4,5,5,1,5,5,5,5,5,5,2,1,1,4,3,3,1,3,3,1,2,3,3,2,2,3,3,2,2,3,2,1,3,3
"30",30,"male","Asian","yr3","STEM","other","Visual",30,1,1,1,2,2,1,1,3,2,1,2,2,3,1,1,1,1,2,2,4,4,2,3,4,1,1,2,5,5,4,4,5,5,1,4,5,2,2,3,4,1,3,4,4,4,4,2,2,4,4,2,1,3,2,3,2,3,4,2,2,2,2,2,1,1,1,1,2,2,3,2,3,4,2,4,5,2,5,4,5,2,4,3,1,3,3,1,4,1,1,1,1,3,2,1,3,1,2,3,2,2,3,2,3
"31",31,"female","white","yr2","Business","math03","Auditory",31,1,3,1,3,3,1,1,4,1,3,3,3,4,1,1,1,1,1,4,3,4,1,3,3,1,3,1,2,2,4,3,3,4,1,2,3,3,2,2,1,2,3,2,1,2,3,1,3,3,4,4,3,3,3,4,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,3,4,3,3,1,1,1,1,1,2,2,2,2,1,1,1,2,1,3,3
"32",32,"male","other","yr2","STEM","stats","Kinesthetic",32,1,2,1,2,2,1,1,3,1,2,2,2,3,1,1,1,1,1,1,2,2,3,4,4,3,2,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,2,4,5,5,3,3,5,5,5,5,5,5,4,5,4,5,5,5,5,5,1,5,5,5,5,1,5,1,3,5,3,5,4,4,4,4,4,4,2,2,2,3,4,3,2,4,4,4,1,2,3,1,2,1,3,3,1,3,2,3,3,2
"33",33,"female","other","yr1","Business","math03","Visual",33,1,3,1,3,4,4,1,5,1,3,3,4,5,1,1,4,1,1,4,2,2,5,4,2,4,3,4,2,3,3,4,4,4,1,3,3,3,2,3,1,3,5,4,3,4,4,2,3,3,5,5,3,2,5,4,3,5,5,3,3,3,5,2,4,2,3,2,2,4,3,1,2,2,2,3,5,5,5,5,3,2,2,1,2,4,4,2,4,1,1,1,1,3,2,2,3,2,2,3,2,2,3,2,1
"34",34,"female","white","yr1","STEM","math03","Visual",34,1,3,1,3,1,2,2,4,3,3,3,1,4,1,1,2,2,3,5,2,4,4,4,3,3,4,4,5,5,5,4,4,5,3,3,3,4,3,2,2,4,4,4,3,5,4,3,4,5,4,4,2,2,4,4,4,4,5,4,4,4,3,2,2,2,1,2,1,3,3,2,4,4,4,4,5,4,4,4,3,3,4,4,2,4,3,2,3,2,2,1,1,2,2,2,2,1,2,3,1,1,3,3,3
"35",35,"female","white","yr3","Other","stats","Kinesthetic",35,1,3,1,3,3,2,1,2,2,3,3,3,2,1,1,2,1,2,1,5,2,1,4,5,1,2,5,5,5,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,2,2,4,4,4,2,3,3,3,2,3,3,2,2,2,1,1,1,3,2,3,1,2,2,3,2,3,3,3,3
"36",36,"female","white","yr5+","STEM","other","Kinesthetic",36,1,3,1,2,3,1,2,4,1,3,2,3,4,1,1,1,2,1,4,4,5,4,5,5,2,3,5,5,5,4,4,5,5,4,5,2,4,5,5,4,4,5,4,5,3,5,5,5,4,5,3,3,5,2,5,4,4,5,4,5,3,4,5,4,2,4,4,3,5,2,5,5,4,2,2,2,1,2,2,5,4,3,4,4,4,3,2,3,2,3,1,1,3,1,2,2,2,3,3,2,2,1,3,3
"37",37,"female","white","yr1","STEM","math02","Kinesthetic",37,1,4,1,3,2,3,2,5,1,4,3,2,5,1,1,3,2,1,2,4,4,5,5,5,3,2,4,4,4,4,4,5,5,3,4,2,5,4,5,4,2,4,3,4,5,4,3,5,5,5,4,5,5,5,5,3,5,4,2,4,5,4,1,3,2,2,2,1,5,3,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,4,3,2,1,1,1,3,2,3,3,2,3,2,2,3,2,3
"38",38,"female","Asian","yr1","STEM","stats","Auditory",38,3,5,1,4,4,2,2,5,3,5,4,4,5,3,1,2,2,3,3,5,4,1,3,4,4,4,2,3,3,3,3,3,3,2,3,2,2,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,4,2,2,3,3,2,3,4,3,2,3,4,3,2,2,1,1,3,3,4,4,2,4,4,4,4,4,4,3,3,3,2,3,3,3,4,2,4,3,2,1,3,1,2,1,2,1,1,2,1,3,1
"39",39,"female","white","yr1","Other","math02","Kinesthetic",39,3,3,3,3,2,1,1,5,3,3,3,2,5,3,3,1,1,3,2,4,3,2,3,3,1,1,2,3,3,2,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,3,4,4,4,4,4,3,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,4,4,1,4,1,1,1,1,3,2,1,3,1,2,1,3,2,3,3,1
"40",40,"male","white","yr1","STEM","math03","Kinesthetic",40,1,2,1,1,2,1,1,3,1,2,1,2,3,1,1,1,1,1,5,1,4,2,3,2,1,1,3,5,3,3,4,5,3,1,3,3,2,4,4,1,3,3,4,4,4,3,3,3,5,4,4,4,4,3,5,5,4,4,5,3,3,5,3,3,2,3,3,1,1,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,2,3,3,2,1,1,1,1,2,3,3,3,2,2,3,3,2,3
"41",41,"male","white","yr1","STEM","math03","Kinesthetic",41,1,2,1,1,3,2,2,2,2,2,1,3,2,1,1,2,2,2,5,2,5,3,5,3,2,2,4,5,3,5,4,5,4,1,5,4,4,5,5,1,2,4,4,5,5,4,2,4,5,4,5,4,4,4,5,3,5,5,3,5,5,5,2,4,2,3,4,2,4,2,5,4,4,4,4,5,5,5,5,5,2,4,3,4,4,4,3,3,2,1,1,1,3,2,2,3,3,2,2,2,2,3,3,3
"42",42,"male","white","yr1","STEM","math03","Visual",42,1,3,1,4,4,1,2,5,1,3,4,4,5,1,1,1,2,1,3,5,4,4,3,4,1,2,4,5,5,4,4,4,3,2,4,2,3,4,4,1,2,4,4,3,3,2,2,4,5,4,4,3,2,4,2,2,1,4,1,1,3,1,2,2,4,2,2,1,4,4,5,5,5,5,5,5,1,5,5,5,2,2,1,1,3,3,3,4,1,1,1,1,2,2,3,3,1,2,2,1,2,2,3,3
"43",43,"female","white","yr1","STEM","math02","Visual",43,2,4,3,4,4,4,3,5,3,4,4,4,5,2,3,4,3,3,1,4,2,2,1,1,1,1,2,3,3,2,3,5,3,1,3,1,1,1,5,4,1,3,3,3,5,3,3,3,5,5,4,2,2,3,4,2,4,3,3,4,4,1,1,1,1,1,2,1,2,4,4,3,2,2,3,5,4,2,4,2,1,1,2,2,3,4,3,3,2,1,1,1,3,2,1,2,3,2,1,2,3,1,2,3
"44",44,"female","white","yr3","Other","other","Visual",44,1,3,1,3,3,1,1,4,1,3,3,3,4,1,1,1,1,1,4,1,4,4,4,4,4,2,4,3,3,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,2,4,3,3,3,4,3,3,4,4,3,3,3,3,4,4,3,3,4,2,2,2,4,3,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,2,2,2,1,1,1,1,3,2,2,2,2,2,1,3,2,3,3,3
"45",45,"female","white","yr1","STEM","math02","Visual",45,1,3,2,4,5,2,1,5,3,3,4,5,5,1,2,2,1,3,2,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,1,1,2,3,3,2
"46",46,"female","white","yr5+","STEM","other","Kinesthetic",46,1,2,1,2,3,1,1,2,1,2,2,3,2,1,1,1,1,1,4,2,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,4,3,5,1,3,5,5,4,4,3,4,4,4,5,5,5,5,3,3,3,3,2,3,3,3,3,3,2,1,1,3,1,2,2,3,2,3,1,3,1,3,3
"47",47,"female","white","yr2","STEM","math04","Visual",47,1,2,1,2,4,1,1,2,1,2,2,4,2,1,1,1,1,1,4,2,5,3,3,4,1,2,3,3,5,5,4,5,5,1,3,3,1,4,5,1,2,5,4,4,4,5,3,3,5,5,4,5,2,5,4,1,1,5,2,1,4,1,3,4,3,1,3,1,2,5,5,4,5,5,5,5,3,5,4,5,4,4,4,3,4,4,1,2,1,1,1,1,1,2,2,2,1,2,3,2,3,1,3,2
"48",48,"female","Asian","yr1","STEM","stats","Kinesthetic",48,1,3,2,3,1,2,1,2,3,3,3,1,2,1,2,2,1,3,2,4,4,2,2,2,3,2,2,4,4,2,2,4,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3,3,4,3,2,3,3,3,3,5,5,5,5,1,5,5,5,5,5,3,2,2,3,2,3,4,1,4,2,2,1,1,3,3,1,3,3,2,3,1,2,3,2,2
"49",49,"female","white","yr2","Business","math03","Auditory",49,3,5,1,3,4,2,1,5,3,5,3,4,5,3,1,2,1,3,4,5,3,2,4,4,3,1,3,4,3,2,2,3,3,4,4,4,5,4,3,3,2,4,2,4,3,2,3,3,5,4,4,3,4,4,3,4,5,5,4,4,4,5,3,2,4,3,3,3,4,3,2,2,2,2,3,5,3,4,4,2,2,1,1,3,2,2,3,2,2,2,1,3,1,1,1,3,3,1,1,3,2,2,3,2
"50",50,"female","Black","yr5+","STEM","other","Kinesthetic",50,1,1,1,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1,4,4,4,3,4,3,3,2,3,4,3,3,4,4,4,3,4,4,4,4,4,3,3,4,5,4,5,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,4,3,2,3,2,2,1,1,3,1,1,3,3,2,3,3,3,2,2,3
"51",51,"male","white","yr1","STEM","math03","Kinesthetic",51,1,4,2,5,4,3,4,5,2,4,5,4,5,1,2,3,4,2,2,4,1,2,2,3,1,1,1,3,3,2,1,3,2,1,1,1,2,1,3,1,1,1,1,2,3,1,1,1,4,4,4,1,3,4,2,1,2,4,1,1,4,1,2,1,4,1,1,3,1,3,4,4,4,4,4,5,3,3,4,4,2,2,2,1,2,3,3,4,1,1,1,1,3,1,2,3,1,2,2,3,2,3,3,3
"52",52,"male","Black","yr2","Health","stats","Kinesthetic",52,1,1,1,1,1,2,1,3,1,1,1,1,3,1,1,2,1,1,4,3,4,1,1,1,1,1,1,2,3,3,1,2,4,1,2,2,3,1,2,1,1,4,3,3,5,5,1,2,4,3,1,1,3,1,3,2,1,5,1,1,3,1,1,2,2,3,2,4,2,2,5,5,5,5,5,5,5,5,5,5,1,2,1,4,4,4,2,4,1,1,1,1,3,1,2,3,3,2,3,3,2,3,3,1
